Name,Country,year,IncomPerPerson,Number of Records
IncomePerPerson,Afghanistan,1950,"1,040",1
IncomePerPerson,Afghanistan,1951,"1,060",1
IncomePerPerson,Afghanistan,1952,"1,070",1
IncomePerPerson,Afghanistan,1953,"1,120",1
IncomePerPerson,Afghanistan,1954,"1,130",1
IncomePerPerson,Afghanistan,1955,"1,130",1
IncomePerPerson,Afghanistan,1956,"1,160",1
IncomePerPerson,Afghanistan,1957,"1,140",1
IncomePerPerson,Afghanistan,1958,"1,180",1
IncomePerPerson,Afghanistan,1959,"1,190",1
IncomePerPerson,Afghanistan,1960,"1,210",1
IncomePerPerson,Afghanistan,1961,"1,200",1
IncomePerPerson,Afghanistan,1962,"1,200",1
IncomePerPerson,Afghanistan,1963,"1,190",1
IncomePerPerson,Afghanistan,1964,"1,190",1
IncomePerPerson,Afghanistan,1965,"1,190",1
IncomePerPerson,Afghanistan,1966,"1,180",1
IncomePerPerson,Afghanistan,1967,"1,180",1
IncomePerPerson,Afghanistan,1968,"1,200",1
IncomePerPerson,Afghanistan,1969,"1,190",1
IncomePerPerson,Afghanistan,1970,"1,180",1
IncomePerPerson,Afghanistan,1971,"1,100",1
IncomePerPerson,Afghanistan,1972,"1,050",1
IncomePerPerson,Afghanistan,1973,"1,150",1
IncomePerPerson,Afghanistan,1974,"1,180",1
IncomePerPerson,Afghanistan,1975,"1,210",1
IncomePerPerson,Afghanistan,1976,"1,240",1
IncomePerPerson,Afghanistan,1977,"1,130",1
IncomePerPerson,Afghanistan,1978,"1,190",1
IncomePerPerson,Afghanistan,1979,"1,170",1
IncomePerPerson,Afghanistan,1980,"1,170",1
IncomePerPerson,Afghanistan,1981,"1,300",1
IncomePerPerson,Afghanistan,1982,"1,410",1
IncomePerPerson,Afghanistan,1983,"1,470",1
IncomePerPerson,Afghanistan,1984,"1,440",1
IncomePerPerson,Afghanistan,1985,"1,400",1
IncomePerPerson,Afghanistan,1986,"1,500",1
IncomePerPerson,Afghanistan,1987,"1,240",1
IncomePerPerson,Afghanistan,1988,"1,120",1
IncomePerPerson,Afghanistan,1989,"1,100",1
IncomePerPerson,Afghanistan,1990,"1,040",1
IncomePerPerson,Afghanistan,1991,"1,030",1
IncomePerPerson,Afghanistan,1992,950,1
IncomePerPerson,Afghanistan,1993,818,1
IncomePerPerson,Afghanistan,1994,732,1
IncomePerPerson,Afghanistan,1995,881,1
IncomePerPerson,Afghanistan,1996,904,1
IncomePerPerson,Afghanistan,1997,930,1
IncomePerPerson,Afghanistan,1998,956,1
IncomePerPerson,Afghanistan,1999,982,1
IncomePerPerson,Afghanistan,2000,972,1
IncomePerPerson,Afghanistan,2001,871,1
